CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,CODE_GENDER_F,CODE_GENDER_M,FLAG_OWN_CAR_N,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_Y,STATUS
0,427500.0,2,3,3,1,-12005,-4542,1,1,0,0,0,2.0,0,1,0,1,0,1,1
0,427500.0,2,3,3,1,-12005,-4542,1,1,0,0,0,2.0,0,1,0,1,0,1,1
0,112500.0,2,1,4,2,-21474,-1134,1,0,0,0,2,2.0,0,1,0,1,0,1,0
0,270000.0,2,1,0,2,-19110,-3051,1,0,1,1,3,1.0,1,0,1,0,0,1,0
0,270000.0,2,1,0,2,-19110,-3051,1,0,1,1,3,1.0,1,0,1,0,0,1,0
0,270000.0,2,1,0,2,-19110,-3051,1,0,1,1,3,1.0,1,0,1,0,0,1,0
0,283500.0,1,3,1,2,-22464,365243,1,0,0,0,0,1.0,1,0,1,0,0,1,0
0,283500.0,1,3,1,2,-22464,365243,1,0,0,0,0,1.0,1,0,1,0,0,1,0
0,283500.0,1,3,1,2,-22464,365243,1,0,0,0,0,1.0,1,0,1,0,0,1,0
0,270000.0,2,3,4,2,-16872,-769,1,1,1,1,6,2.0,0,1,0,1,0,1,0
0,270000.0,2,3,4,2,-16872,-769,1,1,1,1,6,2.0,0,1,0,1,0,1,0
0,135000.0,2,1,4,2,-17778,-1194,1,0,0,0,1,2.0,0,1,0,1,0,1,0
0,135000.0,2,1,4,2,-17778,-1194,1,0,0,0,1,2.0,0,1,0,1,0,1,0
0,135000.0,2,1,4,2,-17778,-1194,1,0,0,0,1,2.0,0,1,0,1,0,1,0
0,135000.0,2,1,4,2,-17778,-1194,1,0,0,0,1,2.0,0,1,0,1,0,1,0
0,135000.0,2,1,4,2,-17778,-1194,1,0,0,0,1,2.0,0,1,0,1,0,1,0
0,130500.0,2,2,4,2,-10669,-1103,1,0,0,0,6,2.0,1,0,0,1,1,0,1
0,130500.0,2,2,4,2,-10669,-1103,1,0,0,0,6,2.0,1,0,0,1,1,0,1
0,157500.0,2,1,4,2,-10031,-1469,1,0,1,0,1,2.0,1,0,1,0,0,1,1
0,157500.0,2,1,4,2,-10031,-1469,1,0,1,0,1,2.0,1,0,1,0,0,1,1
0,157500.0,2,1,4,2,-10031,-1469,1,0,1,0,1,2.0,1,0,1,0,0,1,1
1,112500.0,2,1,0,2,-10968,-1620,1,0,0,0,0,2.0,1,0,1,0,0,1,0
1,112500.0,2,1,0,2,-10968,-1620,1,0,0,0,0,2.0,1,0,1,0,0,1,0
3,270000.0,2,1,4,2,-12689,-1163,1,0,0,0,1,5.0,0,1,0,1,0,1,0
3,270000.0,2,1,4,2,-12689,-1163,1,0,0,0,1,5.0,0,1,0,1,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
1,405000.0,2,3,4,2,-11842,-2016,1,0,0,0,5,3.0,0,1,1,0,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
0,112500.0,2,1,4,2,-20502,-4450,1,0,1,0,2,2.0,0,1,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
2,135000.0,2,1,4,2,-15761,-3173,1,0,0,0,1,4.0,1,0,0,1,0,1,0
1,211500.0,3,1,3,2,-16212,-7099,1,0,0,0,4,3.0,1,0,1,0,0,1,0
1,211500.0,3,1,3,2,-16212,-7099,1,0,0,0,4,3.0,1,0,1,0,0,1,0
0,360000.0,2,1,4,2,-16670,-5364,1,0,1,0,2,2.0,0,1,0,1,0,1,1
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,1
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
2,126000.0,2,3,4,2,-12411,-1773,1,0,0,1,5,4.0,1,0,1,0,0,1,0
0,315000.0,1,1,2,2,-20186,365243,1,0,0,0,0,1.0,1,0,1,0,0,1,0
0,247500.0,2,3,1,1,-17016,-1347,1,0,0,0,4,1.0,1,0,1,0,0,1,0
0,247500.0,2,3,1,1,-17016,-1347,1,0,0,0,4,1.0,1,0,1,0,0,1,0
0,247500.0,2,3,1,1,-17016,-1347,1,0,0,0,4,1.0,1,0,1,0,0,1,0
0,247500.0,2,3,1,1,-17016,-1347,1,0,0,0,4,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,1
0,297000.0,2,1,0,1,-15519,-3234,1,0,0,0,1,1.0,1,0,1,0,0,1,0
